Date,t,Cost ($ per Barrel)
13-May,41,101.98
13-Jun,42,100.26
13-Jul,43,106.19
13-Aug,44,108.3
13-Sep,45,107.96
13-Oct,46,103
13-Nov,47,96.09
13-Dec,48,97.48
